12366783	10	0.522354
30691454	1	0.531496
16069233	9	0.731041
20842729	19	0.228664
9988754	10	0.459982
1181155	12	0.364173
28174204	9	0.387835
33828131	9	0.256689
33655162	10	0.498943
7579943	10	0.961338
3864660	10	0.861785
15096764	10	0.251172
22447082	20	0.304846
27874083	2	0.568958
30948863	10	0.859958
15210404	18	0.576714
18364418	9	0.936471
30770728	10	0.465881
6104262	18	0.874766
10156122	9	0.396844
2693329	18	0.482112
6519310	18	0.610793
18908833	18	0.534531
35214209	20	0.358362
32947390	11	0.51389
21228452	9	0.806151
8790322	10	0.78228
17135069	7	0.423672
7953583	10	0.545579
3274817	10	0.688342
29563339	23	0.495091
5888743	9	0.36703
30843518	0	0.334273
9905873	19	0.294676
557574	18	0.542868
31811800	12	0.228355
15882853	10	0.474367
13070885	11	0.426441
29104105	23	0.254732
16273476	5	0.495394
20323696	9	0.410956
956639	18	0.422153
23856505	7	0.302299
11326756	10	0.455838
24418743	18	0.49366
26993568	10	0.638422
9983579	18	0.289
25875845	10	0.562399
13858118	20	0.931069
22212505	18	0.498677
9322756	12	0.57871
13030391	10	0.740493
1666602	9	0.714026
19882529	18	0.808243
27932660	3	0.593124
26151908	9	0.499239
30526179	11	0.775373
18147885	3	0.436755
991703	18	0.407314
12214369	9	0.743311
32690260	9	0.341621
31842800	9	0.359949
16892272	4	0.407086
6239016	10	0.677281
24498599	9	0.83733
8834027	2	0.344231
33970295	23	0.554518
13492143	20	0.332201
6776936	7	0.468499
7163970	9	0.387397
2493502	18	0.827512
11159835	10	0.50076
28774346	9	0.631514
16636711	12	0.661424
23392874	5	0.615325
15225858	16	0.532057
11797883	12	0.7323
11526936	16	0.359612
2270068	9	0.532682
3431985	14	0.369725
29663813	1	0.622557
29123209	18	0.399173
18024480	21	0.444979
30735890	19	0.588472
15693144	9	0.349591
16652966	18	0.827032
8831879	10	0.476301
27899676	9	0.233306
18963302	10	0.450152
30479397	9	0.80626
13913468	3	0.362745
34998599	10	0.659861
20712381	15	0.59116
31288428	10	0.381831
14307442	18	0.329269
419563	20	0.62876
22538037	14	0.487026
12548765	10	0.429262
28992910	18	0.737895
1001905	9	0.2561
12365559	10	0.65936
22313892	14	0.362497
31647428	12	0.606564
30239822	10	0.306031
32393426	9	0.44634
11486222	11	0.405759
11446568	11	0.776614
26392664	7	0.634524
20320311	9	0.270578
7717825	12	0.765657
4413309	4	0.656694
17033336	9	0.716856
6246922	10	0.595351
12896592	11	0.239082
29100487	11	0.40331
24185874	10	0.301566
12498966	9	0.64613
35265032	9	0.520174
17231979	14	0.271302
18489661	9	0.625517
30409460	23	0.632993
14637013	10	0.601199
15514291	1	0.521014
10748798	1	0.746671
21373500	7	0.495187
21506843	10	0.609629
22145517	15	0.413345
19793414	15	0.685512
7579236	16	0.584459
18674936	12	0.341097
2776149	21	0.328995
10069336	10	0.645454
32527512	10	0.64428
11393671	9	0.626294
28148595	0	0.0
34220051	2	0.233215
8069640	11	0.832058
30273059	15	0.718105
16663517	9	0.438011
21139384	9	0.679493
8787478	18	0.423915
31729276	3	0.450643
5750039	12	0.390263
28237963	5	0.309651
35357244	1	0.700934
27042241	23	0.791847
5956178	10	0.624066
5994274	9	0.342379
26907856	20	0.365607
10105250	6	0.241424
26126763	14	0.510152
429352	9	0.448554
31163542	7	0.404939
10481021	10	0.936232
7399154	9	0.285423
31203664	11	0.360464
26311686	12	0.785355
33872319	10	0.685288
5277416	10	0.572547
8401183	10	0.440849
27575059	12	0.572237
26983709	3	0.303226
1016372	3	0.353348
9917858	10	0.633155
19503926	1	0.481874
10754959	11	0.660677
30461380	19	0.40914
12592258	3	0.540914
17646454	9	0.627726
25806296	10	0.693068
4193689	18	0.597299
25590650	10	0.520531
27965705	10	0.233048
22512639	9	0.593651
30255785	9	0.839294
12994458	12	0.870439
16265046	11	0.714279
34744640	6	0.673418
33434268	16	0.295014
35040175	6	0.587518
3637995	10	0.66178
22760124	14	0.429994
22668936	9	0.336938
35509026	11	0.363348
15667604	10	0.635883
20744735	9	0.949904
11300442	0	0.436159
26860505	7	0.389117
34172745	10	0.79081
3719493	10	0.377035
12970190	7	0.637809
7406871	9	0.557099
17548756	1	0.347064
22807142	10	0.630016
25886708	9	0.370505
13082841	12	0.721212
34186385	18	0.633094
13416635	9	0.505393
34938407	12	0.39534
8545096	9	0.387292
10817237	1	0.33272
33063372	2	0.687671
23483756	10	0.497195
22364894	1	0.47491
7981361	19	0.264348
33500409	9	0.336792
31052582	9	0.330665
1167903	10	0.511191
26070286	2	0.4997
23273054	5	0.381936
30803696	23	0.542304
14567991	4	0.366038
34449023	9	0.287761
3271676	2	0.327403
2752266	14	0.485157
17535940	3	0.604689
6671641	11	0.541831
4130709	7	0.284389
21028453	9	0.654322
9041830	10	0.746333
26315767	15	0.394532
16758756	10	0.368082
4107744	21	0.382559
21018812	9	0.653301
30709063	9	0.9393
34591184	9	0.221369
28857971	9	0.565731
1399489	10	0.503001
10443308	12	0.559826
22783903	7	0.815488
27551358	2	0.359062
7000003	10	0.232066
24326499	2	0.65618
9522164	10	0.592114
9282983	10	0.518759
22226379	20	0.808553
7887645	10	0.643439
25320978	18	0.66031
14337694	10	0.733366
20443501	10	0.404757
15268804	10	0.681889
17787283	10	0.420807
4053724	10	0.615626
10168852	10	0.745029
852453	3	0.432484
23814191	9	0.497813
21583395	12	0.38662
29909867	19	0.812822
20837158	10	0.780759
30385493	10	0.430552
14044564	9	0.517932
29244749	23	0.732686
29012109	10	0.437808
